"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf","score","rank"
"Vonta Leach","rb",32,1,143,0,0,0,0,0,0,0,0,23.5,338
"Charlie Batch","qb",0,0,0,0,475,1,0,0,0,0,0,23,339
"Olindo Mare","k",0,0,0,0,0,0,0,2,3,1,0,23,340
"Ed Dickson","te",0,0,225,0,0,0,0,0,0,0,0,22.5,341
"Luke Stocker","te",0,0,165,1,0,0,0,0,0,0,0,22.5,342
"Clyde Gates","wr",0,0,224,0,0,0,0,0,0,0,0,22.4,343
"Ramses Barden","wr",0,0,220,0,0,0,0,0,0,0,0,22,344
"Jamie Harper","rb",30,3,8,0,0,0,0,0,0,0,0,21.8,345
"Chris Ogbonnaya","rb",30,0,187,0,0,0,0,0,0,0,0,21.7,346
"Terrelle Pryor","qb",10,1,0,0,155,2,0,0,0,0,0,21.2,347
"Niles Paul","te",0,0,152,1,0,0,0,0,0,0,0,21.2,348
"Lestar Jean","wr",0,0,151,1,0,0,0,0,0,0,0,21.1,349
"Juron Criner","wr",0,0,151,1,0,0,0,0,0,0,0,21.1,350
"Will Heller","te",0,0,150,1,0,0,0,0,0,0,0,21,351
"Jacob Hester","rb",81,2,7,0,0,0,0,0,0,0,0,20.8,352
"Ryan Williams","rb",164,0,44,0,0,0,0,0,0,0,0,20.8,353
"Early Doucet","wr",0,0,207,0,0,0,0,0,0,0,0,20.7,354
"Jerricho Cotchery","wr",0,0,205,0,0,0,0,0,0,0,0,20.5,355
"Will Johnson","rb",7,0,137,1,0,0,0,0,0,0,0,20.4,356
"Jalen Parmele","rb",143,0,60,0,0,0,0,0,0,0,0,20.3,357
"Armando Allen","rb",124,1,16,0,0,0,0,0,0,0,0,20,358
"Anthony Dixon","rb",78,2,0,0,0,0,0,0,0,0,0,19.8,359
"Joe McKnight","rb",179,0,18,0,0,0,0,0,0,0,0,19.7,360
"Donald Driver","wr",0,0,77,2,0,0,0,0,0,0,0,19.7,361
"Jason Campbell","qb",7,0,0,0,265,2,0,0,0,0,0,19.3,362
"Curtis Brinkley","rb",115,0,77,0,0,0,0,0,0,0,0,19.2,363
"Jed Collins","rb",0,0,70,2,0,0,0,0,0,0,0,19,364
"Kris Durham","wr",0,0,125,1,0,0,0,0,0,0,0,18.5,365
"Tandon Doss","wr",0,0,123,1,0,0,0,0,0,0,0,18.3,366
"Devin Aromashodu","wr",0,0,182,0,0,0,0,0,0,0,0,18.2,367
"Marlon Moore","wr",0,0,116,1,0,0,0,0,0,0,0,17.6,368
"Leon Washington","rb",83,1,31,0,0,0,0,0,0,0,0,17.4,369
"Brian Leonard","rb",106,0,67,0,0,0,0,0,0,0,0,17.3,370
"Brian Hoyer","qb",1,0,0,0,330,1,0,0,0,0,0,17.3,371
"Byron Leftwich","qb",1,1,0,0,272,0,0,0,0,0,0,16.98,372
"Mike Thomas","wr",0,0,108,1,0,0,0,0,0,0,0,16.8,373
"Jeremy Stewart","rb",101,0,62,0,0,0,0,0,0,0,0,16.3,374
"Mewelde Moore","rb",20,0,77,1,0,0,0,0,0,0,0,15.7,375
"LaMichael James","rb",125,0,29,0,0,0,0,0,0,0,0,15.4,376
"Dion Lewis","rb",69,1,24,0,0,0,0,0,0,0,0,15.3,377
"D.J. Ware","rb",51,0,100,0,0,0,0,0,0,0,0,15.1,378
"Rishard Matthews","wr",0,0,151,0,0,0,0,0,0,0,0,15.1,379
"Shaun Hill","qb",1,0,0,0,172,2,0,0,0,0,0,14.98,380
"Tyrod Taylor","qb",14,1,0,0,179,0,0,0,0,0,0,14.56,381
"Deion Branch","wr",0,0,145,0,0,0,0,0,0,0,0,14.5,382
"Keshawn Martin","wr",0,0,85,1,0,0,0,0,0,0,0,14.5,383
"Matthew Mulligan","te",0,0,84,1,0,0,0,0,0,0,0,14.4,384
"Erik Lorig","rb",0,0,83,1,0,0,0,0,0,0,0,14.3,385
"Baron Batch","rb",49,1,31,0,0,0,0,0,0,0,0,14,386
"Gary Barnidge","te",0,0,78,1,0,0,0,0,0,0,0,13.8,387
"Jordan Norwood","wr",0,0,137,0,0,0,0,0,0,0,0,13.7,388
"Trindon Holliday","wr",0,0,17,2,0,0,0,0,0,0,0,13.7,389
"Greg McElroy","qb",8,0,0,0,214,1,0,0,0,0,0,13.36,390
"Lee Smith","te",0,0,13,2,0,0,0,0,0,0,0,13.3,391
"Anthony Allen","rb",61,1,12,0,0,0,0,0,0,0,0,13.3,392
"Steve Smith","wr",0,0,131,0,0,0,0,0,0,0,0,13.1,393
"Henry Hynoski","rb",20,0,50,1,0,0,0,0,0,0,0,13,394
"Jeff King","te",0,0,129,0,0,0,0,0,0,0,0,12.9,395
"Leonard Pope","te",0,0,9,2,0,0,0,0,0,0,0,12.9,396
"Cole Beasley","wr",0,0,128,0,0,0,0,0,0,0,0,12.8,397
"Stanley Havili","rb",22,1,43,0,0,0,0,0,0,0,0,12.5,398
"Kevin Boss","te",0,0,65,1,0,0,0,0,0,0,0,12.5,399
"Donte' Stallworth","wr",0,0,63,1,0,0,0,0,0,0,0,12.3,400
"Thaddeus Lewis","qb",1,0,0,0,204,1,0,0,0,0,0,12.26,401
"Armanti Edwards","wr",0,0,121,0,0,0,0,0,0,0,0,12.1,402
"Dorin Dickerson","wr",0,0,117,0,0,0,0,0,0,0,0,11.7,403
"Keith Toston","rb",74,0,41,0,0,0,0,0,0,0,0,11.5,404
"Lawrence Vickers","rb",11,0,104,0,0,0,0,0,0,0,0,11.5,405
"John Phillips","te",0,0,55,1,0,0,0,0,0,0,0,11.5,406
"Michael Hoomanawanui","te",0,0,109,0,0,0,0,0,0,0,0,10.9,407
"Lance Dunbar","rb",75,0,33,0,0,0,0,0,0,0,0,10.8,408
"Kevin Elliott","wr",0,0,108,0,0,0,0,0,0,0,0,10.8,409
"Josh Cooper","wr",0,0,106,0,0,0,0,0,0,0,0,10.6,410
"Brian Robiskie","wr",0,0,44,1,0,0,0,0,0,0,0,10.4,411
"Bruce Miller","rb",18,0,84,0,0,0,0,0,0,0,0,10.2,412
"Phillip Tanner","rb",61,0,41,0,0,0,0,0,0,0,0,10.2,413
"Plaxico Burress","wr",0,0,42,1,0,0,0,0,0,0,0,10.2,414
"Kealoha Pilares","wr",0,0,42,1,0,0,0,0,0,0,0,10.2,415
"Orson Charles","te",0,0,101,0,0,0,0,0,0,0,0,10.1,416
"Drew Davis","wr",0,0,40,1,0,0,0,0,0,0,0,10,417
"Matt Moore","qb",5,0,0,0,131,1,0,0,0,0,0,9.74,418
"Stephen Burton","wr",0,0,35,1,0,0,0,0,0,0,0,9.5,419
"Bear Pascoe","te",0,0,35,1,0,0,0,0,0,0,0,9.5,420
"Todd Heap","te",0,0,94,0,0,0,0,0,0,0,0,9.4,421
"Richard Murphy","rb",92,0,0,0,0,0,0,0,0,0,0,9.2,422
"David Ausberry","te",0,0,92,0,0,0,0,0,0,0,0,9.2,423
"Matt Willis","wr",0,0,90,0,0,0,0,0,0,0,0,9,424
"Kahlil Bell","rb",76,0,13,0,0,0,0,0,0,0,0,8.9,425
"Matt Spaeth","te",0,0,28,1,0,0,0,0,0,0,0,8.8,426
"DeVier Posey","wr",0,0,87,0,0,0,0,0,0,0,0,8.7,427
"James Hanna","te",0,0,86,0,0,0,0,0,0,0,0,8.6,428
"Daniel Fells","te",0,0,85,0,0,0,0,0,0,0,0,8.5,429
"Konrad Reuland","te",0,0,83,0,0,0,0,0,0,0,0,8.3,430
"Michael Palmer","te",0,0,22,1,0,0,0,0,0,0,0,8.2,431
"Terrance Copper","wr",0,0,79,0,0,0,0,0,0,0,0,7.9,432
"Nate Byham","te",0,0,18,1,0,0,0,0,0,0,0,7.8,433
"T.J. Yates","qb",2,1,0,0,38,0,0,0,0,0,0,7.72,434
"Kyle Orton","qb",0,0,0,0,89,1,0,0,0,0,0,7.56,435
"Colt McCoy","qb",4,0,0,0,79,1,0,0,0,0,0,7.56,436
"Jason Hill","wr",0,0,15,1,0,0,0,0,0,0,0,7.5,437
"Brandon Jackson","rb",54,0,20,0,0,0,0,0,0,0,0,7.4,438
"Steve Breaston","wr",0,0,74,0,0,0,0,0,0,0,0,7.4,439
"Jamar Newsome","wr",0,0,73,0,0,0,0,0,0,0,0,7.3,440
"Greg Jones","rb",8,0,64,0,0,0,0,0,0,0,0,7.2,441
"Le'Ron McClain","rb",42,0,29,0,0,0,0,0,0,0,0,7.1,442
"Isaiah Pead","rb",54,0,16,0,0,0,0,0,0,0,0,7,443
"Richard Gordon","te",0,0,9,1,0,0,0,0,0,0,0,6.9,444
"Darius Reynaud","rb",33,0,35,0,0,0,0,0,0,0,0,6.8,445
"Jabar Gaffney","wr",0,0,68,0,0,0,0,0,0,0,0,6.8,446
"David Reed","wr",0,0,66,0,0,0,0,0,0,0,0,6.6,447
"Rhett Ellison","rb",0,0,65,0,0,0,0,0,0,0,0,6.5,448
"Joshua Cribbs","wr",0,0,63,0,0,0,0,0,0,0,0,6.3,449
"Virgil Green","te",0,0,63,0,0,0,0,0,0,0,0,6.3,450
"Cyrus Gray","rb",44,0,18,0,0,0,0,0,0,0,0,6.2,451
"Lavelle Hawkins","wr",0,0,62,0,0,0,0,0,0,0,0,6.2,452
"Chris Pressley","rb",0,0,1,1,0,0,0,0,0,0,0,6.1,453
"Michael Preston","wr",0,0,59,0,0,0,0,0,0,0,0,5.9,454
"Ben Obomanu","wr",0,0,58,0,0,0,0,0,0,0,0,5.8,455
"D.J. Williams","te",0,0,57,0,0,0,0,0,0,0,0,5.7,456
"Lex Hilliard","rb",33,0,23,0,0,0,0,0,0,0,0,5.6,457
"Ladarius Green","te",0,0,56,0,0,0,0,0,0,0,0,5.6,458
"Ryan Whalen","wr",0,0,53,0,0,0,0,0,0,0,0,5.3,459
"Devon Wylie","wr",0,0,53,0,0,0,0,0,0,0,0,5.3,460
"Deonte Thompson","wr",0,0,51,0,0,0,0,0,0,0,0,5.1,461
"David Paulson","te",0,0,51,0,0,0,0,0,0,0,0,5.1,462
"Steve Maneri","te",0,0,51,0,0,0,0,0,0,0,0,5.1,463
"Garrett Celek","te",0,0,51,0,0,0,0,0,0,0,0,5.1,464
"Randy McMichael","te",0,0,51,0,0,0,0,0,0,0,0,5.1,465
"Travaris Cadet","rb",5,0,44,0,0,0,0,0,0,0,0,4.9,466
"Tim Tebow","qb",32,0,0,0,39,0,0,0,0,0,0,4.76,467
"Roy Helu","rb",2,0,45,0,0,0,0,0,0,0,0,4.7,468
"Alex Smith","te",0,0,47,0,0,0,0,0,0,0,0,4.7,469
"Matt Leinart","qb",0,0,0,0,115,0,0,0,0,0,0,4.6,470
"Taylor Thompson","te",0,0,46,0,0,0,0,0,0,0,0,4.6,471
"Stefan Logan","rb",17,0,28,0,0,0,0,0,0,0,0,4.5,472
"Quinn Johnson","rb",5,0,40,0,0,0,0,0,0,0,0,4.5,473
"Seyi Ajirotutu","wr",0,0,45,0,0,0,0,0,0,0,0,4.5,474
"Greg Camarillo","wr",0,0,44,0,0,0,0,0,0,0,0,4.4,475
"John Carlson","te",0,0,43,0,0,0,0,0,0,0,0,4.3,476
"Kregg Lumpkin","rb",42,0,0,0,0,0,0,0,0,0,0,4.2,477
"Charly Martin","wr",0,0,42,0,0,0,0,0,0,0,0,4.2,478
"Ruvell Martin","wr",0,0,41,0,0,0,0,0,0,0,0,4.1,479
"Toney Clemons","wr",0,0,41,0,0,0,0,0,0,0,0,4.1,480
"Kyle Adams","te",0,0,40,0,0,0,0,0,0,0,0,4,481
"Anthony Sherman","rb",0,0,39,0,0,0,0,0,0,0,0,3.9,482
"Nate Eachus","rb",18,0,19,0,0,0,0,0,0,0,0,3.7,483
"Bernard Scott","rb",35,0,0,0,0,0,0,0,0,0,0,3.5,484
"Jerome Felton","rb",0,0,35,0,0,0,0,0,0,0,0,3.5,485
"Johnny White","rb",34,0,0,0,0,0,0,0,0,0,0,3.4,486
"Matt Flynn","qb",4,0,0,0,68,0,0,0,0,0,0,3.12,487
"David Nelson","wr",0,0,31,0,0,0,0,0,0,0,0,3.1,488
"Jermaine Kearse","wr",0,0,31,0,0,0,0,0,0,0,0,3.1,489
"Mike McNeill","te",0,0,31,0,0,0,0,0,0,0,0,3.1,490
"Bruce Gradkowski","qb",4,0,0,0,65,0,0,0,0,0,0,3,491
"Ben Hartsock","te",0,0,30,0,0,0,0,0,0,0,0,3,492
"Jarrett Boykin","wr",0,0,27,0,0,0,0,0,0,0,0,2.7,493
"Eric Weems","wr",0,0,27,0,0,0,0,0,0,0,0,2.7,494
"Arrelious Benn","wr",0,0,26,0,0,0,0,0,0,0,0,2.6,495
"Kris Adams","wr",0,0,26,0,0,0,0,0,0,0,0,2.6,496
"Javon Ringer","rb",14,0,12,0,0,0,0,0,0,0,0,2.6,497
"Chris Owusu","wr",0,0,24,0,0,0,0,0,0,0,0,2.4,498
"Derek Anderson","qb",0,0,0,0,58,0,0,0,0,0,0,2.32,499
"Marcus Thigpen","rb",8,0,15,0,0,0,0,0,0,0,0,2.3,500
"Mike Cox","rb",0,0,22,0,0,0,0,0,0,0,0,2.2,501
"Jerrel Jernigan","wr",0,0,22,0,0,0,0,0,0,0,0,2.2,502
"Dezmon Briscoe","wr",0,0,22,0,0,0,0,0,0,0,0,2.2,503
"Alfonso Smith","rb",0,0,21,0,0,0,0,0,0,0,0,2.1,504
"Evan Rodriguez","rb",0,0,21,0,0,0,0,0,0,0,0,2.1,505
"Cory Harkey","te",0,0,21,0,0,0,0,0,0,0,0,2.1,506
"Dan Orlovsky","qb",0,0,0,0,51,0,0,0,0,0,0,2.04,507
"Collin Mooney","rb",19,0,0,0,0,0,0,0,0,0,0,1.9,508
"Legedu Naanee","wr",0,0,19,0,0,0,0,0,0,0,0,1.9,509
"Andre Caldwell","wr",0,0,18,0,0,0,0,0,0,0,0,1.8,510
"Jake O'Connell","te",0,0,18,0,0,0,0,0,0,0,0,1.8,511
"Kellen Clemens","qb",2,0,0,0,39,0,0,0,0,0,0,1.76,512
"Hayden Smith","te",0,0,16,0,0,0,0,0,0,0,0,1.6,513
"Mardy Gilyard","wr",0,0,15,0,0,0,0,0,0,0,0,1.5,514
"Brandon Banks","wr",0,0,15,0,0,0,0,0,0,0,0,1.5,515
"Weslye Saunders","te",0,0,15,0,0,0,0,0,0,0,0,1.5,516
"Jim Dray","te",0,0,15,0,0,0,0,0,0,0,0,1.5,517
"Ryan Mallett","qb",8,0,0,0,17,0,0,0,0,0,0,1.48,518
"Sammie Stroughter","wr",0,0,14,0,0,0,0,0,0,0,0,1.4,519
"Rusty Smith","qb",0,0,0,0,34,0,0,0,0,0,0,1.36,520
"Tyler Thigpen","qb",1,0,0,0,30,0,0,0,0,0,0,1.3,521
"Jordan White","wr",0,0,13,0,0,0,0,0,0,0,0,1.3,522
"Allen Reisner","te",0,0,13,0,0,0,0,0,0,0,0,1.3,523
"Jonathan Grimes","rb",6,0,7,0,0,0,0,0,0,0,0,1.3,524
"Brock Osweiler","qb",8,0,0,0,12,0,0,0,0,0,0,1.28,525
"Graham Harrell","qb",4,0,0,0,20,0,0,0,0,0,0,1.2,526
"Keiland Williams","rb",3,0,9,0,0,0,0,0,0,0,0,1.2,527
"Anthony Armstrong","wr",0,0,12,0,0,0,0,0,0,0,0,1.2,528
"Kellen Winslow","te",0,0,12,0,0,0,0,0,0,0,0,1.2,529
"Matt Asiata","rb",9,0,2,0,0,0,0,0,0,0,0,1.1,530
"Chris Gronkowski","rb",0,0,11,0,0,0,0,0,0,0,0,1.1,531
"Andre Holmes","wr",0,0,11,0,0,0,0,0,0,0,0,1.1,532
"Ryan Taylor","te",0,0,11,0,0,0,0,0,0,0,0,1.1,533
"Chase Coffman","te",0,0,11,0,0,0,0,0,0,0,0,1.1,534
"David Carr","qb",3,0,0,0,19,0,0,0,0,0,0,1.06,535
"Da'Rel Scott","rb",9,0,0,0,0,0,0,0,0,0,0,0.9,536
"Corey McIntyre","rb",0,0,9,0,0,0,0,0,0,0,0,0.9,537
"Courtney Roby","wr",0,0,9,0,0,0,0,0,0,0,0,0.9,538
"Dedrick Epps","te",0,0,9,0,0,0,0,0,0,0,0,0.9,539
"Jordan Todman","rb",8,0,0,0,0,0,0,0,0,0,0,0.8,540
"Robert Hughes","rb",5,0,3,0,0,0,0,0,0,0,0,0.8,541
"Lousaka Polite","rb",0,0,8,0,0,0,0,0,0,0,0,0.8,542
"LaRon Byrd","wr",0,0,8,0,0,0,0,0,0,0,0,0.8,543
"Dominique Jones","te",0,0,8,0,0,0,0,0,0,0,0,0.8,544
"Chris Cooley","te",0,0,8,0,0,0,0,0,0,0,0,0.8,545
"Brandon Jacobs","rb",7,0,0,0,0,0,0,0,0,0,0,0.7,546
"Reagan Maui'a","rb",0,0,7,0,0,0,0,0,0,0,0,0.7,547
"Chase Daniel","qb",3,0,0,0,10,0,0,0,0,0,0,0.7,548
"Joe Adams","wr",0,0,7,0,0,0,0,0,0,0,0,0.7,549
"Dane Sanzenbacher","wr",0,0,7,0,0,0,0,0,0,0,0,0.7,550
"Tommy Gallarda","te",0,0,7,0,0,0,0,0,0,0,0,0.7,551
"Shaun Chapas","rb",0,0,6,0,0,0,0,0,0,0,0,0.6,552
"Austin Collie","wr",0,0,6,0,0,0,0,0,0,0,0,0.6,553
"Evan Moore","te",0,0,6,0,0,0,0,0,0,0,0,0.6,554
"Isaiah Stanback","te",0,0,6,0,0,0,0,0,0,0,0,0.6,555
"Zach Potter","te",0,0,6,0,0,0,0,0,0,0,0,0.6,556
"Trent Edwards","qb",0,0,0,0,14,0,0,0,0,0,0,0.56,557
"Daniel Herron","rb",5,0,0,0,0,0,0,0,0,0,0,0.5,558
"Will Ta'ufo'ou","rb",0,0,5,0,0,0,0,0,0,0,0,0.5,559
"Brad Smelley","te",0,0,3,0,0,0,0,0,0,0,0,0.3,560
"Luke McCown","qb",2,0,0,0,0,0,0,0,0,0,0,0.2,561
"Owen Schmitt","rb",1,0,0,0,0,0,0,0,0,0,0,0.1,562
"Ted Ginn Jr.","wr",0,0,1,0,0,0,0,0,0,0,0,0.1,563
"Brit Miller","rb",0,0,0,0,0,0,0,0,0,0,0,0,564
"John Conner","rb",0,0,0,0,0,0,0,0,0,0,0,0,565
"Owen Marecic","rb",0,0,0,0,0,0,0,0,0,0,0,0,566
"Patrick DiMarco","rb",0,0,0,0,0,0,0,0,0,0,0,0,567
"Antone Smith","rb",0,0,0,0,0,0,0,0,0,0,0,0,568
"Tyler Clutts","rb",0,0,0,0,0,0,0,0,0,0,0,0,569
"Brandon Saine","rb",0,0,0,0,0,0,0,0,0,0,0,0,570
"Armond Smith","rb",0,0,0,0,0,0,0,0,0,0,0,0,571
"Josh Johnson","qb",0,0,0,0,0,0,0,0,0,0,0,0,572
"Tarvaris Jackson","qb",0,0,0,0,0,0,0,0,0,0,0,0,573
"John Potter","k",0,0,0,0,0,0,0,0,0,0,0,0,574
"Mike Brown","wr",0,0,0,0,0,0,0,0,0,0,0,0,575
"A.J. Jenkins","wr",0,0,0,0,0,0,0,0,0,0,0,0,576
"Kevin Cone","wr",0,0,0,0,0,0,0,0,0,0,0,0,577
"Kassim Osgood","wr",0,0,0,0,0,0,0,0,0,0,0,0,578
"Roscoe Parrish","wr",0,0,0,0,0,0,0,0,0,0,0,0,579
"LaQuan Williams","wr",0,0,0,0,0,0,0,0,0,0,0,0,580
"David Gilreath","wr",0,0,0,0,0,0,0,0,0,0,0,0,581
"Richard Goodman","wr",0,0,0,0,0,0,0,0,0,0,0,0,582
"Marvin McNutt","wr",0,0,0,0,0,0,0,0,0,0,0,0,583
"Patrick Turner","wr",0,0,0,0,0,0,0,0,0,0,0,0,584
"Matthew Slater","wr",0,0,0,0,0,0,0,0,0,0,0,0,585
"David Gettis","wr",0,0,0,0,0,0,0,0,0,0,0,0,586
"Joe Webb","wr",0,0,0,0,0,0,0,0,0,0,0,0,587
"Preston Parker","wr",0,0,0,0,0,0,0,0,0,0,0,0,588
"Josh Bellamy","wr",0,0,0,0,0,0,0,0,0,0,0,0,589
"Jeremy Ross","wr",0,0,0,0,0,0,0,0,0,0,0,0,590
"Quan Cosby","wr",0,0,0,0,0,0,0,0,0,0,0,0,591
"Marcus Easley","wr",0,0,0,0,0,0,0,0,0,0,0,0,592
"Stephen Spach","te",0,0,0,0,0,0,0,0,0,0,0,0,593
"Brian Jennings","te",0,0,0,0,0,0,0,0,0,0,0,0,594
"Travis Beckum","te",0,0,0,0,0,0,0,0,0,0,0,0,595
"Justin Snow","te",0,0,0,0,0,0,0,0,0,0,0,0,596
"Julius Thomas","te",0,0,0,0,0,0,0,0,0,0,0,0,597
"Mike Leach","te",0,0,0,0,0,0,0,0,0,0,0,0,598
"Billy Bajema","te",0,0,0,0,0,0,0,0,0,0,0,0,599
"Colin Cloherty","te",0,0,0,0,0,0,0,0,0,0,0,0,600
"Richie Brockel","te",0,0,0,0,0,0,0,0,0,0,0,0,601
"Jeron Mastrud","te",0,0,0,0,0,0,0,0,0,0,0,0,602
"Daniel Graham","te",0,0,0,0,0,0,0,0,0,0,0,0,603
"Maurice Stovall","te",0,0,0,0,0,0,0,0,0,0,0,0,604
"Visanthe Shiancoe","te",0,0,0,0,0,0,0,0,0,0,0,0,605
"Michael Higgins","te",0,0,-3,0,0,0,0,0,0,0,0,-0.3,606
"Nathan Palmer","wr",0,0,-4,0,0,0,0,0,0,0,0,-0.4,607
