"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf","score","rank"
"Chad Henne","qb",19,1,0,0,2084,11,0,0,0,0,0,135.26,77
"DeAngelo Williams","rb",737,5,187,2,0,0,0,0,0,0,0,134.4,78
"T.Y. Hilton","wr",0,0,861,8,0,0,0,0,0,0,0,134.1,79
"Torrey Smith","wr",0,0,855,8,0,0,0,0,0,0,0,133.5,80
"Mike Wallace","wr",0,0,836,8,0,0,0,0,0,0,0,131.6,81
"Miles Austin","wr",0,0,943,6,0,0,0,0,0,0,0,130.3,82
"Heath Miller","te",0,0,816,8,0,0,0,0,0,0,0,129.6,83
"Phil Dawson","k",0,0,0,0,0,0,0,8,8,6,7,128,84
"Jeremy Maclin","wr",0,0,857,7,0,0,0,0,0,0,0,127.7,85
"Alex Smith","qb",31,0,0,0,1737,13,0,0,0,0,0,124.58,86
"Jason Witten","te",0,0,1039,3,0,0,0,0,0,0,0,121.9,87
"Willis McGahee","rb",731,4,221,0,0,0,0,0,0,0,0,119.2,88
"Sidney Rice","wr",0,0,748,7,0,0,0,0,0,0,0,116.8,89
"Danny Woodhead","rb",301,4,446,3,0,0,0,0,0,0,0,116.7,90
"Justin Blackmon","wr",0,0,865,5,0,0,0,0,0,0,0,116.5,91
"Jordy Nelson","wr",0,0,745,7,0,0,0,0,0,0,0,116.5,92
"Anquan Boldin","wr",0,0,921,4,0,0,0,0,0,0,0,116.1,93
"Denarius Moore","wr",0,0,741,7,0,0,0,0,0,0,0,116.1,94
"DeMarco Murray","rb",663,4,251,0,0,0,0,0,0,0,0,115.4,95
"Brandon Lloyd","wr",0,0,911,4,0,0,0,0,0,0,0,115.1,96
"Vick Ballard","rb",814,2,152,1,0,0,0,0,0,0,0,114.6,97
"Darren McFadden","rb",707,2,258,1,0,0,0,0,0,0,0,114.5,98
"Brian Hartline","wr",0,0,1083,1,0,0,0,0,0,0,0,114.3,99
"Greg Olsen","te",0,0,843,5,0,0,0,0,0,0,0,114.3,100
"Adam Vinatieri","k",0,0,0,0,0,0,1,8,4,9,4,112,101
"Malcom Floyd","wr",0,0,814,5,0,0,0,0,0,0,0,111.4,102
"Golden Tate","wr",0,0,688,7,0,0,0,0,0,0,0,110.8,103
"Josh Gordon","wr",0,0,805,5,0,0,0,0,0,0,0,110.5,104
"Dennis Pitta","te",0,0,669,7,0,0,0,0,0,0,0,108.9,105
"Antonio Brown","wr",0,0,787,5,0,0,0,0,0,0,0,108.7,106
"Greg Zuerlein","k",0,0,0,0,0,0,1,4,4,7,7,108,107
"Joique Bell","rb",414,3,485,0,0,0,0,0,0,0,0,107.9,108
"Danario Alexander","wr",0,0,658,7,0,0,0,0,0,0,0,107.8,109
"Owen Daniels","te",0,0,716,6,0,0,0,0,0,0,0,107.6,110
"Jay Feely","k",0,0,0,0,0,0,0,6,9,8,2,106,111
"Andre Roberts","wr",0,0,759,5,0,0,0,0,0,0,0,105.9,112
"Santana Moss","wr",0,0,573,8,0,0,0,0,0,0,0,105.3,113
"Brandon Myers","te",0,0,806,4,0,0,0,0,0,0,0,104.6,114
"Matt Cassel","qb",27,1,0,0,1796,6,0,0,0,0,0,104.54,115
"Blaine Gabbert","qb",18,0,0,0,1662,9,0,0,0,0,0,104.28,116
"Larry Fitzgerald","wr",0,0,798,4,0,0,0,0,0,0,0,103.8,117
"Jermaine Gresham","te",0,0,737,5,0,0,0,0,0,0,0,103.7,118
"Kyle Rudolph","te",0,0,493,9,0,0,0,0,0,0,0,103.3,119
"Ryan Mathews","rb",707,1,252,0,0,0,0,0,0,0,0,101.9,120
"Jeremy Kerley","wr",0,0,827,3,0,0,0,0,0,0,0,100.7,121
"Brandon Gibson","wr",0,0,691,5,0,0,0,0,0,0,0,99.1,122
"Nick Foles","qb",11,1,0,0,1699,6,0,0,0,0,0,99.06,123
"Nate Washington","wr",0,0,746,4,0,0,0,0,0,0,0,98.6,124
"Dwayne Bowe","wr",0,0,801,3,0,0,0,0,0,0,0,98.1,125
"Dan Carpenter","k",0,0,0,0,0,0,0,3,9,8,2,97,126
"Felix Jones","rb",402,3,262,2,0,0,0,0,0,0,0,96.4,127
"Donnie Avery","wr",0,0,781,3,0,0,0,0,0,0,0,96.1,128
"Antonio Gates","te",0,0,538,7,0,0,0,0,0,0,0,95.8,129
"Andre Brown","rb",385,8,86,0,0,0,0,0,0,0,0,95.1,130
"Sebastian Janikowski","k",0,0,0,0,0,0,1,9,1,5,6,95,131
"Pierre Thomas","rb",473,1,354,1,0,0,0,0,0,0,0,94.7,132
"Knowshon Moreno","rb",525,4,167,0,0,0,0,0,0,0,0,93.2,133
"Mark Ingram","rb",602,5,29,0,0,0,0,0,0,0,0,93.1,134
"Scott Chandler","te",0,0,571,6,0,0,0,0,0,0,0,93.1,135
"Martellus Bennett","te",0,0,626,5,0,0,0,0,0,0,0,92.6,136
"Mason Crosby","k",0,0,0,0,0,0,0,5,5,9,2,92,137
"Brandon LaFell","wr",0,0,677,4,0,0,0,0,0,0,0,91.7,138
"Percy Harvin","wr",0,0,677,4,0,0,0,0,0,0,0,91.7,139
"Darrius Heyward-Bey","wr",0,0,606,5,0,0,0,0,0,0,0,90.6,140
"Shayne Graham","k",0,0,0,0,0,0,1,8,1,7,4,90,141
"Fred Jackson","rb",437,3,217,1,0,0,0,0,0,0,0,89.4,142
"Greg Little","wr",0,0,647,4,0,0,0,0,0,0,0,88.7,143
"Jacquizz Rodgers","rb",362,1,402,1,0,0,0,0,0,0,0,88.4,144
"Robbie Gould","k",0,0,0,0,0,0,0,7,5,7,2,88,145
"Nick Folk","k",0,0,0,0,0,0,0,7,6,5,3,88,146
"Chris Givens","wr",0,0,698,3,0,0,0,0,0,0,0,87.8,147
"Pierre Garcon","wr",0,0,633,4,0,0,0,0,0,0,0,87.3,148
"Hakeem Nicks","wr",0,0,692,3,0,0,0,0,0,0,0,87.2,149
"Mike Tolbert","rb",183,7,268,0,0,0,0,0,0,0,0,87.1,150
"Kendall Wright","wr",0,0,626,4,0,0,0,0,0,0,0,86.6,151
"Kevin Kolb","qb",16,1,0,0,1169,8,0,0,0,0,0,86.36,152
"Bryce Brown","rb",564,4,56,0,0,0,0,0,0,0,0,86,153
"Justin Tucker","k",0,0,0,0,0,0,0,8,8,1,4,85,154
"Stephen Gostkowski","k",0,0,0,0,0,0,0,8,1,9,2,85,155
"Jonathan Dwyer","rb",623,2,106,0,0,0,0,0,0,0,0,84.9,156
"Vernon Davis","te",0,0,548,5,0,0,0,0,0,0,0,84.8,157
"Danny Amendola","wr",0,0,666,3,0,0,0,0,0,0,0,84.6,158
"Brandon Stokley","wr",0,0,544,5,0,0,0,0,0,0,0,84.4,159
"Matt Hasselbeck","qb",13,0,0,0,1367,7,0,0,0,0,0,83.98,160
"Davone Bess","wr",0,0,778,1,0,0,0,0,0,0,0,83.8,161
"Kenny Britt","wr",0,0,589,4,0,0,0,0,0,0,0,82.9,162
"Marcel Reece","rb",271,0,496,1,0,0,0,0,0,0,0,82.7,163
"DeSean Jackson","wr",0,0,700,2,0,0,0,0,0,0,0,82,164
"Bilal Powell","rb",437,4,140,0,0,0,0,0,0,0,0,81.7,165
"Michael Bush","rb",411,5,83,0,0,0,0,0,0,0,0,79.4,166
"Jermichael Finley","te",0,0,667,2,0,0,0,0,0,0,0,78.7,167
"Aaron Hernandez","te",0,0,483,5,0,0,0,0,0,0,0,78.3,168
"David Akers","k",0,0,0,0,0,0,1,8,1,7,2,78,169
"Marcedes Lewis","te",0,0,540,4,0,0,0,0,0,0,0,78,170
"Isaac Redman","rb",410,2,244,0,0,0,0,0,0,0,0,77.4,171
"Andrew Hawkins","wr",0,0,533,4,0,0,0,0,0,0,0,77.3,172
"Mike Nugent","k",0,0,0,0,0,0,2,5,5,6,1,77,173
"Rod Streater","wr",0,0,584,3,0,0,0,0,0,0,0,76.4,174
"Jared Cook","te",0,0,523,4,0,0,0,0,0,0,0,76.3,175
"Blair Walsh","k",0,0,0,0,0,0,0,1,8,7,1,76,176
"Lance Kendricks","te",0,0,519,4,0,0,0,0,0,0,0,75.9,177
"Dan Bailey","k",0,0,0,0,0,0,1,5,1,7,3,75,178
