"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf"
"Marvin Jones","wr",0,0,201,1,0,0,0,0,0,0,0
"Micheal Spurlock","wr",0,0,200,3,0,0,0,0,0,0,0
"Braylon Edwards","wr",0,0,199,1,0,0,0,0,0,0,0
"LaVon Brazill","wr",0,0,186,1,0,0,0,0,0,0,0
"Devin Aromashodu","wr",0,0,182,0,0,0,0,0,0,0,0
"Brian Quick","wr",0,0,156,2,0,0,0,0,0,0,0
"Mohamed Sanu","wr",0,0,154,4,0,0,0,0,0,0,0
"Brad Smith","wr",0,0,152,3,0,0,0,0,0,0,0
"Lestar Jean","wr",0,0,151,1,0,0,0,0,0,0,0
"Juron Criner","wr",0,0,151,1,0,0,0,0,0,0,0
"Rishard Matthews","wr",0,0,151,0,0,0,0,0,0,0,0
"Deion Branch","wr",0,0,145,0,0,0,0,0,0,0,0
"Jordan Norwood","wr",0,0,137,0,0,0,0,0,0,0,0
"Steve Smith","wr",0,0,131,0,0,0,0,0,0,0,0
"Cole Beasley","wr",0,0,128,0,0,0,0,0,0,0,0
"Kris Durham","wr",0,0,125,1,0,0,0,0,0,0,0
"Tandon Doss","wr",0,0,123,1,0,0,0,0,0,0,0
"Armanti Edwards","wr",0,0,121,0,0,0,0,0,0,0,0
"Dorin Dickerson","wr",0,0,117,0,0,0,0,0,0,0,0
"Marlon Moore","wr",0,0,116,1,0,0,0,0,0,0,0
"Kevin Elliott","wr",0,0,108,0,0,0,0,0,0,0,0
"Mike Thomas","wr",0,0,108,1,0,0,0,0,0,0,0
"Josh Cooper","wr",0,0,106,0,0,0,0,0,0,0,0
"Matt Willis","wr",0,0,90,0,0,0,0,0,0,0,0
"DeVier Posey","wr",0,0,87,0,0,0,0,0,0,0,0
"Keshawn Martin","wr",0,0,85,1,0,0,0,0,0,0,0
"Terrance Copper","wr",0,0,79,0,0,0,0,0,0,0,0
"Donald Driver","wr",0,0,77,2,0,0,0,0,0,0,0
"Steve Breaston","wr",0,0,74,0,0,0,0,0,0,0,0
"Jamar Newsome","wr",0,0,73,0,0,0,0,0,0,0,0
"Jabar Gaffney","wr",0,0,68,0,0,0,0,0,0,0,0
"David Reed","wr",0,0,66,0,0,0,0,0,0,0,0
"Donte' Stallworth","wr",0,0,63,1,0,0,0,0,0,0,0
"Joshua Cribbs","wr",0,0,63,0,0,0,0,0,0,0,0
"Lavelle Hawkins","wr",0,0,62,0,0,0,0,0,0,0,0
"Michael Preston","wr",0,0,59,0,0,0,0,0,0,0,0
"Ben Obomanu","wr",0,0,58,0,0,0,0,0,0,0,0
"Ryan Whalen","wr",0,0,53,0,0,0,0,0,0,0,0
"Devon Wylie","wr",0,0,53,0,0,0,0,0,0,0,0
"Deonte Thompson","wr",0,0,51,0,0,0,0,0,0,0,0
"Seyi Ajirotutu","wr",0,0,45,0,0,0,0,0,0,0,0
"Brian Robiskie","wr",0,0,44,1,0,0,0,0,0,0,0
"Greg Camarillo","wr",0,0,44,0,0,0,0,0,0,0,0
"Charly Martin","wr",0,0,42,0,0,0,0,0,0,0,0
"Plaxico Burress","wr",0,0,42,1,0,0,0,0,0,0,0
"Kealoha Pilares","wr",0,0,42,1,0,0,0,0,0,0,0
"Ruvell Martin","wr",0,0,41,0,0,0,0,0,0,0,0
"Toney Clemons","wr",0,0,41,0,0,0,0,0,0,0,0
"Drew Davis","wr",0,0,40,1,0,0,0,0,0,0,0
"Stephen Burton","wr",0,0,35,1,0,0,0,0,0,0,0
"David Nelson","wr",0,0,31,0,0,0,0,0,0,0,0
"Jermaine Kearse","wr",0,0,31,0,0,0,0,0,0,0,0
"Jarrett Boykin","wr",0,0,27,0,0,0,0,0,0,0,0
"Eric Weems","wr",0,0,27,0,0,0,0,0,0,0,0
"Arrelious Benn","wr",0,0,26,0,0,0,0,0,0,0,0
"Kris Adams","wr",0,0,26,0,0,0,0,0,0,0,0
"Chris Owusu","wr",0,0,24,0,0,0,0,0,0,0,0
"Jerrel Jernigan","wr",0,0,22,0,0,0,0,0,0,0,0
"Dezmon Briscoe","wr",0,0,22,0,0,0,0,0,0,0,0
"Legedu Naanee","wr",0,0,19,0,0,0,0,0,0,0,0
"Andre Caldwell","wr",0,0,18,0,0,0,0,0,0,0,0
"Trindon Holliday","wr",0,0,17,2,0,0,0,0,0,0,0
"Mardy Gilyard","wr",0,0,15,0,0,0,0,0,0,0,0
"Jason Hill","wr",0,0,15,1,0,0,0,0,0,0,0
"Brandon Banks","wr",0,0,15,0,0,0,0,0,0,0,0
"Sammie Stroughter","wr",0,0,14,0,0,0,0,0,0,0,0
"Jordan White","wr",0,0,13,0,0,0,0,0,0,0,0
"Anthony Armstrong","wr",0,0,12,0,0,0,0,0,0,0,0
"Andre Holmes","wr",0,0,11,0,0,0,0,0,0,0,0
"Courtney Roby","wr",0,0,9,0,0,0,0,0,0,0,0
"LaRon Byrd","wr",0,0,8,0,0,0,0,0,0,0,0
"Joe Adams","wr",0,0,7,0,0,0,0,0,0,0,0
"Dane Sanzenbacher","wr",0,0,7,0,0,0,0,0,0,0,0
"Austin Collie","wr",0,0,6,0,0,0,0,0,0,0,0
"Ted Ginn Jr.","wr",0,0,1,0,0,0,0,0,0,0,0
"Mike Brown","wr",0,0,0,0,0,0,0,0,0,0,0
"A.J. Jenkins","wr",0,0,0,0,0,0,0,0,0,0,0
"Kevin Cone","wr",0,0,0,0,0,0,0,0,0,0,0
"Kassim Osgood","wr",0,0,0,0,0,0,0,0,0,0,0
"Roscoe Parrish","wr",0,0,0,0,0,0,0,0,0,0,0
"LaQuan Williams","wr",0,0,0,0,0,0,0,0,0,0,0
"David Gilreath","wr",0,0,0,0,0,0,0,0,0,0,0
"Richard Goodman","wr",0,0,0,0,0,0,0,0,0,0,0
"Marvin McNutt","wr",0,0,0,0,0,0,0,0,0,0,0
"Patrick Turner","wr",0,0,0,0,0,0,0,0,0,0,0
"Matthew Slater","wr",0,0,0,0,0,0,0,0,0,0,0
"David Gettis","wr",0,0,0,0,0,0,0,0,0,0,0
"Joe Webb","wr",0,0,0,0,0,0,0,0,0,0,0
"Preston Parker","wr",0,0,0,0,0,0,0,0,0,0,0
"Nathan Palmer","wr",0,0,-4,0,0,0,0,0,0,0,0
"Josh Bellamy","wr",0,0,0,0,0,0,0,0,0,0,0
"Jeremy Ross","wr",0,0,0,0,0,0,0,0,0,0,0
"Quan Cosby","wr",0,0,0,0,0,0,0,0,0,0,0
"Marcus Easley","wr",0,0,0,0,0,0,0,0,0,0,0
"Jason Witten","te",0,0,1039,3,0,0,0,0,0,0,0
"Jimmy Graham","te",0,0,982,9,0,0,0,0,0,0,0
"Tony Gonzalez","te",0,0,930,8,0,0,0,0,0,0,0
"Greg Olsen","te",0,0,843,5,0,0,0,0,0,0,0
"Heath Miller","te",0,0,816,8,0,0,0,0,0,0,0
"Brandon Myers","te",0,0,806,4,0,0,0,0,0,0,0
"Rob Gronkowski","te",0,0,790,11,0,0,0,0,0,0,0
"Jermaine Gresham","te",0,0,737,5,0,0,0,0,0,0,0
"Owen Daniels","te",0,0,716,6,0,0,0,0,0,0,0
"Brent Celek","te",0,0,684,1,0,0,0,0,0,0,0
"Dennis Pitta","te",0,0,669,7,0,0,0,0,0,0,0
"Jermichael Finley","te",0,0,667,2,0,0,0,0,0,0,0
"Martellus Bennett","te",0,0,626,5,0,0,0,0,0,0,0
"Scott Chandler","te",0,0,571,6,0,0,0,0,0,0,0
"Brandon Pettigrew","te",0,0,567,3,0,0,0,0,0,0,0
"Jacob Tamme","te",0,0,555,2,0,0,0,0,0,0,0
"Vernon Davis","te",0,0,548,5,0,0,0,0,0,0,0
"Marcedes Lewis","te",0,0,540,4,0,0,0,0,0,0,0
"Antonio Gates","te",0,0,538,7,0,0,0,0,0,0,0
"Jared Cook","te",0,0,523,4,0,0,0,0,0,0,0
"Dwayne Allen","te",0,0,521,3,0,0,0,0,0,0,0
"Lance Kendricks","te",0,0,519,4,0,0,0,0,0,0,0
"Tony Scheffler","te",0,0,504,1,0,0,0,0,0,0,0
"Benjamin Watson","te",0,0,501,3,0,0,0,0,0,0,0
"Kyle Rudolph","te",0,0,493,9,0,0,0,0,0,0,0
"Aaron Hernandez","te",0,0,483,5,0,0,0,0,0,0,0
"Tony Moeaki","te",0,0,453,1,0,0,0,0,0,0,0
"Dallas Clark","te",0,0,435,4,0,0,0,0,0,0,0
"Rob Housler","te",0,0,417,0,0,0,0,0,0,0,0
"Zach Miller","te",0,0,396,3,0,0,0,0,0,0,0
"Jeff Cumberland","te",0,0,359,3,0,0,0,0,0,0,0
"Joel Dreessen","te",0,0,356,5,0,0,0,0,0,0,0
"Delanie Walker","te",0,0,344,3,0,0,0,0,0,0,0
"Anthony Fasano","te",0,0,332,5,0,0,0,0,0,0,0
"James Casey","te",0,0,330,3,0,0,0,0,0,0,0
"Fred Davis","te",0,0,325,0,0,0,0,0,0,0,0
"Dustin Keller","te",0,0,317,2,0,0,0,0,0,0,0
"Logan Paulsen","te",0,0,308,1,0,0,0,0,0,0,0
"Anthony McCoy","te",0,0,291,3,0,0,0,0,0,0,0
"Coby Fleener","te",0,0,281,2,0,0,0,0,0,0,0
"Craig Stevens","te",0,0,275,1,0,0,0,0,0,0,0
"Garrett Graham","te",0,0,263,3,0,0,0,0,0,0,0
"Kellen Davis","te",0,0,229,2,0,0,0,0,0,0,0
"Jordan Cameron","te",0,0,226,1,0,0,0,0,0,0,0
"Ed Dickson","te",0,0,225,0,0,0,0,0,0,0,0
"Charles Clay","te",0,0,212,2,0,0,0,0,0,0,0
"Tom Crabtree","te",0,0,203,3,0,0,0,0,0,0,0
"Clay Harbor","te",0,0,186,2,0,0,0,0,0,0,0
"Luke Stocker","te",0,0,165,1,0,0,0,0,0,0,0
"Niles Paul","te",0,0,152,1,0,0,0,0,0,0,0
"Will Heller","te",0,0,150,1,0,0,0,0,0,0,0
"Jeff King","te",0,0,129,0,0,0,0,0,0,0,0
"Michael Hoomanawanui","te",0,0,109,0,0,0,0,0,0,0,0
"Orson Charles","te",0,0,101,0,0,0,0,0,0,0,0
"Dante Rosario","te",0,0,95,3,0,0,0,0,0,0,0
"Todd Heap","te",0,0,94,0,0,0,0,0,0,0,0
"David Ausberry","te",0,0,92,0,0,0,0,0,0,0,0
"James Hanna","te",0,0,86,0,0,0,0,0,0,0,0
"David Thomas","te",0,0,86,4,0,0,0,0,0,0,0
"Daniel Fells","te",0,0,85,0,0,0,0,0,0,0,0
"Matthew Mulligan","te",0,0,84,1,0,0,0,0,0,0,0
"Konrad Reuland","te",0,0,83,0,0,0,0,0,0,0,0
"Gary Barnidge","te",0,0,78,1,0,0,0,0,0,0,0
"Kevin Boss","te",0,0,65,1,0,0,0,0,0,0,0
"Virgil Green","te",0,0,63,0,0,0,0,0,0,0,0
"D.J. Williams","te",0,0,57,0,0,0,0,0,0,0,0
"Ladarius Green","te",0,0,56,0,0,0,0,0,0,0,0
"John Phillips","te",0,0,55,1,0,0,0,0,0,0,0
"David Paulson","te",0,0,51,0,0,0,0,0,0,0,0
"Steve Maneri","te",0,0,51,0,0,0,0,0,0,0,0
"Garrett Celek","te",0,0,51,0,0,0,0,0,0,0,0
"Randy McMichael","te",0,0,51,0,0,0,0,0,0,0,0
"Alex Smith","te",0,0,47,0,0,0,0,0,0,0,0
"Taylor Thompson","te",0,0,46,0,0,0,0,0,0,0,0
"John Carlson","te",0,0,43,0,0,0,0,0,0,0,0
"Kyle Adams","te",0,0,40,0,0,0,0,0,0,0,0
"Bear Pascoe","te",0,0,35,1,0,0,0,0,0,0,0
"Mike McNeill","te",0,0,31,0,0,0,0,0,0,0,0
"Ben Hartsock","te",0,0,30,0,0,0,0,0,0,0,0
"Matt Spaeth","te",0,0,28,1,0,0,0,0,0,0,0
"Michael Palmer","te",0,0,22,1,0,0,0,0,0,0,0
"Cory Harkey","te",0,0,21,0,0,0,0,0,0,0,0
"Jake O'Connell","te",0,0,18,0,0,0,0,0,0,0,0
"Nate Byham","te",0,0,18,1,0,0,0,0,0,0,0
"Hayden Smith","te",0,0,16,0,0,0,0,0,0,0,0
"Weslye Saunders","te",0,0,15,0,0,0,0,0,0,0,0
"Jim Dray","te",0,0,15,0,0,0,0,0,0,0,0
"Allen Reisner","te",0,0,13,0,0,0,0,0,0,0,0
"Lee Smith","te",0,0,13,2,0,0,0,0,0,0,0
"Kellen Winslow","te",0,0,12,0,0,0,0,0,0,0,0
"Ryan Taylor","te",0,0,11,0,0,0,0,0,0,0,0
"Chase Coffman","te",0,0,11,0,0,0,0,0,0,0,0
"Leonard Pope","te",0,0,9,2,0,0,0,0,0,0,0
"Dedrick Epps","te",0,0,9,0,0,0,0,0,0,0,0
"Richard Gordon","te",0,0,9,1,0,0,0,0,0,0,0
"Dominique Jones","te",0,0,8,0,0,0,0,0,0,0,0
"Chris Cooley","te",0,0,8,0,0,0,0,0,0,0,0
"Tommy Gallarda","te",0,0,7,0,0,0,0,0,0,0,0
"Evan Moore","te",0,0,6,0,0,0,0,0,0,0,0
"Isaiah Stanback","te",0,0,6,0,0,0,0,0,0,0,0
"Zach Potter","te",0,0,6,0,0,0,0,0,0,0,0
"Brad Smelley","te",0,0,3,0,0,0,0,0,0,0,0
"Stephen Spach","te",0,0,0,0,0,0,0,0,0,0,0
"Brian Jennings","te",0,0,0,0,0,0,0,0,0,0,0
"Travis Beckum","te",0,0,0,0,0,0,0,0,0,0,0
"Justin Snow","te",0,0,0,0,0,0,0,0,0,0,0
"Julius Thomas","te",0,0,0,0,0,0,0,0,0,0,0
"Mike Leach","te",0,0,0,0,0,0,0,0,0,0,0
"Billy Bajema","te",0,0,0,0,0,0,0,0,0,0,0
"Colin Cloherty","te",0,0,0,0,0,0,0,0,0,0,0
"Richie Brockel","te",0,0,0,0,0,0,0,0,0,0,0
"Jeron Mastrud","te",0,0,0,0,0,0,0,0,0,0,0
"Daniel Graham","te",0,0,0,0,0,0,0,0,0,0,0
"Maurice Stovall","te",0,0,0,0,0,0,0,0,0,0,0
"Visanthe Shiancoe","te",0,0,0,0,0,0,0,0,0,0,0
"Michael Higgins","te",0,0,-3,0,0,0,0,0,0,0,0
