"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf"
"Brian Leonard","rb",106,0,67,0,0,0,0,0,0,0,0
"Chris Rainey","rb",102,2,60,0,0,0,0,0,0,0,0
"Jeremy Stewart","rb",101,0,62,0,0,0,0,0,0,0,0
"Richard Murphy","rb",92,0,0,0,0,0,0,0,0,0,0
"Evan Royster","rb",88,2,109,0,0,0,0,0,0,0,0
"Leon Washington","rb",83,1,31,0,0,0,0,0,0,0,0
"Jacob Hester","rb",81,2,7,0,0,0,0,0,0,0,0
"Anthony Dixon","rb",78,2,0,0,0,0,0,0,0,0,0
"Kahlil Bell","rb",76,0,13,0,0,0,0,0,0,0,0
"Lance Dunbar","rb",75,0,33,0,0,0,0,0,0,0,0
"Keith Toston","rb",74,0,41,0,0,0,0,0,0,0,0
"Dion Lewis","rb",69,1,24,0,0,0,0,0,0,0,0
"Jason Snelling","rb",63,0,203,1,0,0,0,0,0,0,0
"John Kuhn","rb",63,1,148,0,0,0,0,0,0,0,0
"Anthony Allen","rb",61,1,12,0,0,0,0,0,0,0,0
"Phillip Tanner","rb",61,0,41,0,0,0,0,0,0,0,0
"Darrel Young","rb",60,0,109,2,0,0,0,0,0,0,0
"Brandon Jackson","rb",54,0,20,0,0,0,0,0,0,0,0
"Isaiah Pead","rb",54,0,16,0,0,0,0,0,0,0,0
"D.J. Ware","rb",51,0,100,0,0,0,0,0,0,0,0
"Michael Robinson","rb",49,0,126,2,0,0,0,0,0,0,0
"Baron Batch","rb",49,1,31,0,0,0,0,0,0,0,0
"Cyrus Gray","rb",44,0,18,0,0,0,0,0,0,0,0
"Kregg Lumpkin","rb",42,0,0,0,0,0,0,0,0,0,0
"Le'Ron McClain","rb",42,0,29,0,0,0,0,0,0,0,0
"Bernard Scott","rb",35,0,0,0,0,0,0,0,0,0,0
"Johnny White","rb",34,0,0,0,0,0,0,0,0,0,0
"Lex Hilliard","rb",33,0,23,0,0,0,0,0,0,0,0
"Darius Reynaud","rb",33,0,35,0,0,0,0,0,0,0,0
"Vonta Leach","rb",32,1,143,0,0,0,0,0,0,0,0
"Chris Ogbonnaya","rb",30,0,187,0,0,0,0,0,0,0,0
"Jamie Harper","rb",30,3,8,0,0,0,0,0,0,0,0
"Stanley Havili","rb",22,1,43,0,0,0,0,0,0,0,0
"Mewelde Moore","rb",20,0,77,1,0,0,0,0,0,0,0
